Gene	Module
42sp43.l[42sp43(4e-134)]	10
42sp50.l[42sp50(0.0)]	3
6330408a02rik-like.1.s[c19orf68(0.0)]	43
a2m.s[a2m(0.0)]	38
aaas.l[aaas(3e-49)]	130
aacs.s[aacs(0.0)]	9
aadacl4.s[aadacl4(0.0)]	4
aasdh-like.l[aasdh(1e-178)]	103
aass.l[aass(0.0)]	12
aatf.s[aatf(3e-67)]	103
abca3-like.s[abca3(0.0)]	16
abcb9.l[abcb9(0.0)]	24
abcc3.l[abcc3(0.0)]	5
abcd3.s[abcd3(2e-35)]	1
abce1.l[abce1(0.0)]	3
abce1.s[abce1(0.0)]	2
abcf1-like.l[abcf1(4e-78)]	13
abcg2.l[abcg2(0.0)]	5
abcg2.s[abcg2(0.0)]	1
abhd17b.l[fam108b1(4e-66)]	16
abhd17c.l[fam108c1(0.0)]	1
abhd17c.s[fam108c1(0.0)]	1
abi1.l[abi1(2e-153)]	44
abi2.l[abi2(0.0)]	84
abi2.s[abi2(0.0)]	74
abl1-like.s[abl1(0.0)|exosc2(3e-157)]	64
abl2.l[abl2(3e-57)]	66
abr.l[abr(3e-125)]	61
abr.s[abr(3e-125)]	98
abtb2-like.2.s[abtb2(3e-173)|nat10(8e-72)]	132
acaa1.l[acaa1(2e-114)]	1
acaa2.s[acaa2(8e-110)]	83
acad10.l[acad10(0.0)]	1
acadl.l[acadl(0.0)]	112
acadm.l[acadm(0.0)]	3
acadsb.l[acadsb(0.0)]	1
acat1.1[acat1(0.0)]	1
acat1.s[acat1(0.0)]	12
acat2.l[acat2(0.0)]	1
acat2.s[acat2(0.0)]	1
acbd3.l[acbd3(2e-47)]	7
acbd3.s[acbd3(0.0)]	9
acbd6.s[acbd6(8e-152)]	10
acer3.l[acer3(1e-84)]	73
acer3.s[acer3(0.0)]	83
aco1.l[aco1(0.0)]	1
acox2.l[acox2(0.0)|arpc4(7e-26)]	15
acpp.l	9
acrc.l[igbp1(0.0)]	33
acsl4.l[acsl4(1e-119)]	126
acsl4.s[acsl4(0.0)]	1
acss2-like.l[acss2.1(0.0)]	68
act3.l[act3(0.0)]	34
act3.s[act3(0.0)]	34
actc1.l[actc1(0.0)]	34
actc1.s[actc1(0.0)]	34
actg1.l[actg1(0.0)]	2
actg1.s[actg1(0.0)]	2
actn1.l[actn1(0.0)]	4
actn1.s[actn1(0.0)]	81
actn3.s[actn3(0.0)]	34
actn4.l[actn4(0.0)]	4
actn4.s[actn4(5e-75)]	129
actr1a.l[actr1a(0.0)]	130
actr2.l[actr2(2e-79)]	52
actr2.s[actr2(0.0)]	8
actr3.l[actr3(2e-42)]	2
actr3.s[actr3(0.0)]	10
actr6.l[actr6(4e-169)]	71
actr8.1	3
acvr1.s[acvr1(0.0)]	117
acvr1b.l[acvr1b(0.0)]	97
acvr1b.s[acvr1b(0.0)]	21
acvr2a.l[acvr2a(0.0)]	97
acvr2a.s[acvr2a(0.0)]	97
acvr2b.l[acvr2b(0.0)]	74
acvr2b.s[acvr2b(0.0)]	89
acy3.l[acy3(1e-87)]	30
adal.s[adal(0.0)]	1
adam10.s[adam10(0.0)]	5
adam11.l[adam11(2e-85)]	51
adam9.l[adam9(2e-53)]	84
adam9.s[adam9(2e-116)]	115
adamts1.l[adamts1(0.0)]	45
adamts1.s[adamts1(4e-168)]	1
adamts10-like.l[adamts10(0.0)]	20
adamtsl4.s[adamtsl4(4e-45)]	132
adap1.l[xb-gene-5838973(0.0)|adap1(1e-44)]	30
add3.l[add3(0.0)]	84
adgb.l[adgb(0.0)]	6
adhfe1.s[adhfe1(0.0)]	90
adk.1[adk(9e-40)]	96
admp.l[admp(1e-80)]	20
admp.s[admp(6e-79)]	47
adnp.l[adnp(0.0)]	77
adnp.s[adnp(0.0)]	77
adnp2.l[adnp2(8e-177)]	99
adnp2.s[adnp2(7e-68)]	99
adprm.l[c17orf48(0.0)]	32
adrm1.s[adrm1(0.0)]	2
adsl.l[adsl(0.0)]	1
adss.l[adss(0.0)]	16
afap1l1.l[afap1l1(6e-43)]	8
aff4.l[aff4(2e-57)]	37
aff4.s[aff4(0.0)]	108
agbl5.l[agbl5(5e-61)]	72
agbl5.s[agbl5(0.0)]	53
agfg1.l[agfg1(0.0)]	53
aggf1.s[aggf1(6e-107)]	85
agk.s[agk(0.0)]	1
agl.l[agl(0.0)]	1
ago1.l[eif2c1(0.0)]	46
ago2.l[eif2c2(0.0)]	94
ago2.s[eif2c2(0.0)]	37
agpat6.l[agpat6(0.0)]	36
agpat9.s[chchd2(0.0)]	17
agps.s[agps(0.0)]	6
agr2.l[agr2(0.0)]	38
agr2.s[agr2(0.0)]	38
ahctf1.l[ahctf1(9e-25)|ahctf1(0.0)]	8
ahctf1.s[ahctf1(0.0)|ahctf1(0.0)]	8
ahcy.l[ahcy(0.0)]	134
ahcy.s[ahcy(0.0)]	78
ahdc1.l[ahdc1(1e-137)]	21
ahdc1.s[ahdc1(8e-139)]	21
ahnak-like.l[ahnak(1e-23)]	96
ahnak-like.s[ahnak(1e-25)]	96
ahsa1.l[ahsa1(0.0)]	2
ahsa1.s[ahsa1(1e-22)]	14
aifm1.l[aifm1(1e-21)]	14
aim1-like.1.l[aim1(0.0)]	9
aim1-like.1.s[aim1(0.0)]	4
aim1l.l[aim1l(3e-73)]	5
aim1l.s[aim1l(0.0)]	5
aimp2.l[aimp2(0.0)]	29
aimp2.s[aimp2(0.0)]	2
ak3.1[ak3(0.0)]	2
ak3.l[ak3(0.0)]	74
ak6.l[taf9(0.0)]	2
ak6.s[taf9(0.0)]	127
ak7.s[ak7(0.0)]	54
akap1-like.l	43
akap13-like.l[ensxetg00000007624(0.0)|akap13(9e-163)]	8
akap13-like.s[ensxetg00000007624(0.0)|akap13(3e-157)]	21
akap2.1[akap2(0.0)]	112
akap2.l[akap2(0.0)]	90
akap8.l	1
akap9.l[akap9(9e-34)]	5
akap9.s[akap9(1e-110)]	5
akirin1.1[akirin1(0.0)]	17
akirin1.l[akirin1(2e-69)]	18
akirin2.l[akirin2(1e-121)]	12
akirin2.s[akirin2(0.0)]	17
akr1b1.s[akr1b1(0.0)]	10
akr1c2.1[akr1cl1(0.0)|akr1c2(0.0)]	7
akr7a2.l[akr7a2(0.0)]	1
akt1s1.l[akt1s1(6e-170)]	61
akt1s1.s[akt1s1(0.0)]	1
akt2.l[akt2(2e-39)]	1
akt2.s[akt2(0.0)]	26
alas1.l[alas1(0.0)]	7
alcam.l[alcam(1e-75)]	19
alcam.s[alcam(0.0)]	19
aldh16a1.s[aldh16a1(0.0)]	1
aldh18a1.l[aldh18a1(0.0)]	8
aldh1a2.l[aldh1a2(2e-35)]	113
aldh1a2.s[aldh1a2(2e-36)]	113
aldh1l1.l[aldh1l1(3e-49)]	50
aldh3a2.l[aldh3a2(0.0)]	70
aldh3a2.s[aldh3a2(0.0)]	1
aldh3b1-like.1.l[aldh3b1(0.0)]	119
aldh5a1.s[aldh5a1(1e-167)]	15
aldh6a1.l[aldh6a1(5e-179)]	1
aldh6a1.s[aldh6a1(0.0)]	12
aldh7a1.s[aldh7a1(0.0)]	24
aldh9a1.s[aldh9a1(0.0)]	49
aldob.l[aldob(0.0)]	54
alg10.s[alg10(0.0)]	1
alg2.l[alg2(1e-71)]	7
alg5.l[alg5(0.0)]	30
alg6.l[alg6(6e-127)]	10
alg8.s[alg8(0.0)]	6
alg9-like.l[alg9(0.0)|fdxacb1(4e-58)]	69
alkbh4-like.l[alkbh4(0.0)]	71
alkbh5.l[alkbh5(0.0)]	1
